"Date","Index"
1995-09-11 02:00:00,4704.94
1995-09-12 02:00:00,4747.21
1995-09-13 02:00:00,4765.52
1995-09-14 02:00:00,4801.8
1995-09-15 02:00:00,4797.57
1995-09-18 02:00:00,4780.41
1995-09-19 02:00:00,4767.04
1995-09-20 02:00:00,4792.69
1995-09-21 02:00:00,4767.4
1995-09-22 02:00:00,4764.15
1995-09-25 01:00:00,4769.93
1995-09-26 01:00:00,4765.6
1995-09-27 01:00:00,4762.35
1995-09-28 01:00:00,4787.64
1995-09-29 01:00:00,4789.08
1995-10-02 01:00:00,4761.26
1995-10-03 01:00:00,4749.7
1995-10-04 01:00:00,4740.67
1995-10-05 01:00:00,4762.71
1995-10-06 01:00:00,4769.21
1995-10-09 01:00:00,4726.22
1995-10-10 01:00:00,4720.8
1995-10-11 01:00:00,4735.25
1995-10-12 01:00:00,4764.88
1995-10-13 01:00:00,4793.78
1995-10-16 01:00:00,4784.38
1995-10-17 01:00:00,4795.94
1995-10-18 01:00:00,4777.52
1995-10-19 01:00:00,4802.45
1995-10-20 01:00:00,4794.86
1995-10-23 01:00:00,4755.48
1995-10-24 01:00:00,4783.66
1995-10-25 01:00:00,4753.68
1995-10-26 01:00:00,4703.82
1995-10-27 01:00:00,4741.75
1995-10-30 01:00:00,4756.57
1995-10-31 01:00:00,4755.48
1995-11-01 01:00:00,4766.68
1995-11-02 01:00:00,4808.59
1995-11-03 01:00:00,4825.57
1995-11-06 01:00:00,4814.01
1995-11-07 01:00:00,4797.03
1995-11-08 01:00:00,4852.67
1995-11-09 01:00:00,4864.23
1995-11-10 01:00:00,4870.37
1995-11-13 01:00:00,4872.9
1995-11-14 01:00:00,4871.81
1995-11-15 01:00:00,4922.75
1995-11-16 01:00:00,4969.36
1995-11-17 01:00:00,4989.95
1995-11-20 01:00:00,4983.09
1995-11-21 01:00:00,5023.55
1995-11-22 01:00:00,5041.61
1995-11-23 01:00:00,5041.61
1995-11-24 01:00:00,5048.84
1995-11-27 01:00:00,5070.88
1995-11-28 01:00:00,5078.1
1995-11-29 01:00:00,5105.56
1995-11-30 01:00:00,5074.49
1995-12-01 01:00:00,5087.13
1995-12-04 01:00:00,5139.52
1995-12-05 01:00:00,5177.45
1995-12-06 01:00:00,5199.13
1995-12-07 01:00:00,5159.39
1995-12-08 01:00:00,5156.86
1995-12-11 01:00:00,5184.32
1995-12-12 01:00:00,5174.92
1995-12-13 01:00:00,5216.47
1995-12-14 01:00:00,5182.15
1995-12-15 01:00:00,5176.73
1995-12-18 01:00:00,5075.21
1995-12-19 01:00:00,5109.89
1995-12-20 01:00:00,5059.32
1995-12-21 01:00:00,5096.53
1995-12-22 01:00:00,5097.97
1995-12-25 01:00:00,5097.97
1995-12-26 01:00:00,5110.26
1995-12-27 01:00:00,5105.92
1995-12-28 01:00:00,5095.8
1995-12-29 01:00:00,5117.12
1996-01-01 01:00:00,5117.12
1996-01-02 01:00:00,5177.45
1996-01-03 01:00:00,5194.07
1996-01-04 01:00:00,5173.84
1996-01-05 01:00:00,5181.43
1996-01-08 01:00:00,5197.68
1996-01-09 01:00:00,5130.13
1996-01-10 01:00:00,5032.94
1996-01-11 01:00:00,5065.1
1996-01-12 01:00:00,5061.12
1996-01-15 01:00:00,5043.78
1996-01-16 01:00:00,5088.22
1996-01-17 01:00:00,5066.9
1996-01-18 01:00:00,5124.35
1996-01-19 01:00:00,5184.68
1996-01-22 01:00:00,5219.36
1996-01-23 01:00:00,5192.27
1996-01-24 01:00:00,5242.84
1996-01-25 01:00:00,5216.83
1996-01-26 01:00:00,5271.75
1996-01-29 01:00:00,5304.98
1996-01-30 01:00:00,5381.21
1996-01-31 01:00:00,5395.3
1996-02-01 01:00:00,5405.06
1996-02-02 01:00:00,5373.99
1996-02-05 01:00:00,5407.59
1996-02-06 01:00:00,5459.61
1996-02-07 01:00:00,5492.12
1996-02-08 01:00:00,5539.45
1996-02-09 01:00:00,5541.62
