"r11","r12","r13","r21","r22","r23","r31","r32","r33"
0.947732684551,-0.113900173111,0.298042797596,0.181300428051,0.960899225978,-0.209291261891,-0.262550782558,0.252387456267,0.931325753159
0.96919314781,0.126906838456,-0.21109073071,-0.125524730914,0.991889068503,0.0199904405409,0.211915511862,0.00712250917677,0.977262035329
0.909744362621,0.231218834067,0.344823208982,0.0138666599529,0.813175405892,-0.581853482412,-0.414937236726,0.534119471678,0.736575508385
0.984200877575,-0.171172414895,0.0452618709286,0.165086723551,0.97957208049,0.114825575687,-0.0639922361543,-0.105539298385,0.992353994403
0.796986162598,0.26485732091,0.542829306677,-0.410622919754,0.896683705043,0.165369739925,-0.442946807641,-0.354695549269,0.823400991577
0.792226976479,0.600312834082,-0.109548705949,-0.596220137254,0.799710268916,0.0706047712495,0.129992175423,0.00938014004523,0.991470648734
0.923931144919,-0.296103295103,0.242227327271,0.16656927794,0.881379912355,0.442068010315,-0.344392094994,-0.368092771901,0.863656063592
0.983265592992,-0.181048568758,0.0202531328155,0.170808280165,0.877526872732,-0.448074903404,0.0633506516549,0.444036038384,0.893766575539
0.845393621995,-0.203719531314,-0.493769152997,0.0667467402584,0.957457329288,-0.280749595294,0.529957070483,0.204386435837,0.823025934155
0.783850337865,-0.489678054088,0.381829872028,0.616747595451,0.685374605176,-0.387148620151,-0.0721183148266,0.538959232154,0.839238878236
0.894751652343,0.386383268193,-0.223891604776,-0.323560416984,0.906479015116,0.271301403823,0.307779364464,-0.170304918353,0.936091927962
0.932355767584,-0.135424557002,-0.335220691507,0.0376558322792,0.958528130275,-0.282499312862,0.359575806957,0.25076684955,0.898788755058
0.858810382959,-0.49015974676,0.14895686885,0.452540284721,0.862141754906,0.227857159539,-0.240108343932,-0.128277110603,0.962233322053
0.784875563134,-0.608296155998,0.118093763565,0.566083684249,0.626365783748,-0.535924591129,0.252030975917,0.487485068026,0.835965726349
0.817808484147,0.0721249548137,0.57095295266,-0.077098837493,0.996902971231,-0.0154995228466,-0.570302597325,-0.0313441676291,0.820836457914
0.984019608347,-0.163208586808,-0.0711924685629,0.135104633816,0.944791721664,-0.298521926493,0.115983396697,0.284132996795,0.951743816278
0.969773267931,-0.177393423145,0.167545164748,0.141257361367,0.968023673417,0.207307803916,-0.198962726824,-0.177374578589,0.963821608082
