"x","y","z"
0.656204364416,-0.182454922884,0.73219262031
0.482834481111,0.498245178218,0.72015457107
0.382760224484,0.195668066473,0.902889039869
0.180564430007,-0.09535968021,0.978929526578
0.479998957665,-0.094375983198,0.872177834181
0.434819564839,0.608984044283,0.663378006752
0.414113623026,0.357152537247,0.837228745542
0.266943088432,0.491449304238,0.828986712138
0.603175153955,-0.0346896081217,0.796854042306
0.591260249868,0.102135318048,0.799987308483
0.446077205909,0.585531025879,0.676881484531
0.558819963623,0.141695375445,0.817094039162
0.53875801481,0.210104192485,0.81584068897
0.438284698773,0.255035622664,0.861895210565
0.542846692589,0.449853831512,0.709188972432
0.916111902804,0.243651836047,0.318390898633
0.753890308546,0.345408126219,0.558876219769
0.205685998523,0.168199393057,0.964055099145
0.488033528665,0.0337014802724,0.872173999341
0.449632272577,0.447704237175,0.772911208014
0.709740963871,0.222350644583,0.668451909307
0.466375237345,0.577005063722,0.670491830249
0.33046541637,0.579890486978,0.744660749399
0.746971530946,0.0176738397518,0.664621070494
0.498660904278,0.24709754888,0.830830971909
0.386320445629,0.436321885339,0.812637511848
0.377378814743,0.443930777218,0.812718090867
0.791404068226,0.288689599425,0.53883013648
0.425066691362,-0.168131101236,0.889410052052
0.62512010652,0.286126906612,0.726192981057
0.579072228325,0.116226360241,0.806949061321
0.511378876536,0.380637003886,0.770459029349
0.439096454581,0.290981124906,0.850014287246
0.422181016454,0.440699864225,0.792178527239
0.493641232472,0.164583263664,0.85395004709
0.460111107432,0.167206336589,0.871974661227
0.362307053704,0.738426071443,0.568735910462
0.515243193016,0.554916523953,0.65314018671
0.190139171419,0.594434411666,0.78134168308
0.540192778272,0.425184320764,0.726230029453
0.630625001539,0.264002337344,0.729804681617
0.886948133052,0.0726608526906,0.456117758657
0.427320359931,0.230534282705,0.874214650121
0.411736354008,0.384201648441,0.826354807648
0.53543512464,0.602345150615,0.592021576324
0.50621668837,0.520272438024,0.687794485765
0.568237734482,0.168126292127,0.805505696446
0.691827462462,0.12863141856,0.710512998011
0.597692291961,0.475912054225,0.645191166069
0.700825595032,-0.181218456883,0.68992996473
0.370785189826,0.739160914253,0.562280611302
0.780802906721,-0.136747687926,0.609628485803
0.540995132734,-0.0751565250567,0.83766088789
0.442812350068,0.4803522814,0.757085799881
0.454123093638,0.685397488978,0.569212173031
0.131907002162,0.336528863234,0.932388796046
0.504462087342,-0.0345682432365,0.862741582975
0.420846423308,0.654219308905,0.628399064166
0.450664430699,0.275248078647,0.849199662096
0.704874729187,0.316546777684,0.634783233625
0.345628510566,0.359594907026,0.866736658694
0.63519436492,0.548517963511,0.543742735564
0.701859802289,0.264878745662,0.661235259214
0.532882689171,0.469741729168,0.703831476606
0.235339048571,0.648669606838,0.723770179949
0.540157691838,0.527669642654,0.655587077489
